"WATERBODYC,N,9,0","LOCNAME_EN,C,254","LATITUDE,N,19,11","LONGITUDE,N,19,11","GUIDELOC_E,C,254","URL_EN,C,254","SPECIES_EN,C,254"
44077656,Lake Ontario 10 - Middle Bay of Quinte,44.09333333,-77.07666667,from County Road 49 Bridge to Glenora,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44077656.html,-GIZZARD_SHAD-CHINOOK_SALMON-LAKE_WHITEFISH-NORTHERN_PIKE-WHITE_SUCKER-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
44087724,Lake Ontario 9b - Upper Bay of Quinte,44.1475,-77.38166667,Belleville Nearshore Area,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44087724.html,-PUMPKINSEED-BLUEGILL-YELLOW_PERCH-BROWN_BULLHEAD-
44097717,Lake Ontario 9 - Upper Bay of Quinte,44.15,-77.28333333,open water from Trenton to County Road 49 Bridge,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44097717.html,-CHINOOK_SALMON-LAKE_WHITEFISH-NORTHERN_PIKE-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
44098009,Pine River,44.17083333,-80.15305556,"Mulmur Twp., Dufferin Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44098009.html,-BROOK_TROUT-
44107644,Lake Ontario 11 - Lower Bay of Quinte/Eastern Lake Ontario,44.05611111,-76.6625,&nbsp;,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44107644.html,-CHINOOK_SALMON-BROWN_TROUT-LAKE_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-NORTHERN_PIKE-WHITE_SUCKER-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
44107850,Lake Scugog,44.18333333,-78.85722222,Durham R.M.,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44107850.html,-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-
44107931,Holland Marsh Canals,44.16666667,-79.51638889,York R.M.,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44107931.html,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-LARGEMOUTH_BASS-BLACK_CRAPPIE-
44108103,Marl Lakes,44.16388889,-81.05222222,"Brant Twp., Bruce Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44108103.html,-LARGEMOUTH_BASS-YELLOW_PERCH-
44127810,Rice Lake,44.14472222,-78.22472222,"off Otonabee River, Peterborough Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44127810.html,-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-
44127931,Holland River,44.17361111,-79.51694444,"W. Gwillimbury Twp., Simcoe Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44127931.html,-BOWFIN-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-PUMPKINSEED-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-
44147747,Percy Reach (Trent River),44.23055556,-77.78305556,"Percy Twp., Northumberland Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44147747.html,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-
44147808,Rice Lake,44.21305556,-78.12194444,"eastern end, Peterborough Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44147808.html,-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-
44147819,Otonabee River,44.20611111,-78.28222222,"downstream of Little Lake (Peterborough) to Rice Lake, Peterborough Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44147819.html,-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-
44167628,Cataraqui River,44.25444444,-76.47305556,"Belle Island Area, Leeds Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44167628.html,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-
44167720,Moira River,44.27555556,-77.3675,"Highway 37, Hastings Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44167720.html,-NORTHERN_PIKE-WHITE_SUCKER-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-LARGEMOUTH_BASS-WALLEYE-
44167731,Oak Lake,44.2675,-77.52,"Sidney Twp., Hastings Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE44167731.html,-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-LARGEMOUTH_BASS-BLACK_CRAPPIE-
